,abundance
ENSMUSG00000000001,0.0001515181389321642
ENSMUSG00000000028,1.2183821934849235e-05
ENSMUSG00000000031,1.4294902214426405e-07
ENSMUSG00000000037,1.3831916097192793e-06
ENSMUSG00000000049,9.808582827905063e-07
ENSMUSG00000000056,1.3775374831389944e-05
ENSMUSG00000000058,3.383685776485167e-05
ENSMUSG00000000078,0.00018407582667056597
ENSMUSG00000000085,3.270427975986281e-05
ENSMUSG00000000088,0.00010289208421191102
ENSMUSG00000000093,3.3330005264743093e-07
ENSMUSG00000000094,6.121715086551659e-07
ENSMUSG00000000120,1.1709289417687083e-07
ENSMUSG00000000125,1.420572993799341e-08
ENSMUSG00000000126,2.2724531922768653e-06
ENSMUSG00000000127,5.9967065062078037e-05
ENSMUSG00000000131,3.46417229880833e-05
ENSMUSG00000000134,2.847663894880047e-05
ENSMUSG00000000142,5.67152002546989e-07
ENSMUSG00000000148,1.0760509489419285e-05
ENSMUSG00000000149,2.8457996407983976e-05
ENSMUSG00000000154,1.888374079414004e-06
ENSMUSG00000000167,3.0773509180334845e-06
ENSMUSG00000000168,4.801417112695294e-05
ENSMUSG00000000171,0.00021034892084315277
ENSMUSG00000000184,0.0009811792437527977
ENSMUSG00000000194,5.827257759624744e-05
ENSMUSG00000000197,1.4202388588294612e-07
ENSMUSG00000000214,9.540576010942459e-08
ENSMUSG00000000223,1.2243366054093727e-06
ENSMUSG00000000244,1.5773829217802822e-06
ENSMUSG00000000247,2.4589467044368553e-07
ENSMUSG00000000248,3.0165043674920996e-06
ENSMUSG00000000253,9.734438064253441e-06
ENSMUSG00000000263,4.1528607880966987e-07
ENSMUSG00000000266,1.275006605080639e-05
ENSMUSG00000000275,1.7683585347637785e-05
ENSMUSG00000000276,6.844240472694627e-06
ENSMUSG00000000278,9.938947606685066e-05
ENSMUSG00000000282,1.2616963888252762e-05
ENSMUSG00000000290,4.878833366688655e-06
ENSMUSG00000000295,8.680024746759388e-05
ENSMUSG00000000296,1.2877201080327945e-05
ENSMUSG00000000301,8.72950745693275e-06
ENSMUSG00000000303,4.279384312140859e-08
ENSMUSG00000000308,1.3947410027225918e-06
ENSMUSG00000000317,3.8696567382057217e-07
ENSMUSG00000000318,2.71962738493984e-08
ENSMUSG00000000320,6.943709686445221e-07
ENSMUSG00000000325,6.333580542261089e-06
ENSMUSG00000000326,0.00015275114224078332
ENSMUSG00000000339,4.54480539700726e-05
ENSMUSG00000000340,2.2782206534383684e-05
ENSMUSG00000000346,0.0002411560583998917
ENSMUSG00000000355,0.00017630794799456206
ENSMUSG00000000359,6.55416181417015e-06
ENSMUSG00000000365,2.2058864565387758e-08
ENSMUSG00000000374,1.787301241940733e-05
ENSMUSG00000000378,7.640651553932198e-05
ENSMUSG00000000384,1.8633021490478602e-05
ENSMUSG00000000386,4.317151505445774e-08
ENSMUSG00000000392,4.67115188911616e-08
ENSMUSG00000000399,0.00013587604089051685
ENSMUSG00000000402,2.705697983497407e-08
ENSMUSG00000000409,1.4052139098032386e-07
ENSMUSG00000000416,3.192982505754551e-07
ENSMUSG00000000420,9.438694269229433e-05
ENSMUSG00000000439,6.985403704655806e-06
ENSMUSG00000000440,6.145142324886021e-06
ENSMUSG00000000441,5.422599841918436e-06
ENSMUSG00000000486,5.6807547563874275e-06
ENSMUSG00000000489,3.909129084109782e-07
ENSMUSG00000000530,5.500317082217058e-06
ENSMUSG00000000531,2.5338433581192543e-06
ENSMUSG00000000532,3.0909265335734205e-06
ENSMUSG00000000538,2.2793500467821905e-05
ENSMUSG00000000552,6.276563805134649e-06
ENSMUSG00000000555,0.00012321616956487825
ENSMUSG00000000561,4.761061854912131e-05
ENSMUSG00000000562,1.4833959271263085e-08
ENSMUSG00000000563,0.00047535762186242547
ENSMUSG00000000567,4.147453965051333e-05
ENSMUSG00000000568,0.00011216967955137125
ENSMUSG00000000579,0.00015660766596493802
ENSMUSG00000000581,0.00018133603868133975
ENSMUSG00000000594,1.465981647618771e-05
ENSMUSG00000000600,5.7891331726848924e-05
ENSMUSG00000000605,6.53575651075777e-05
ENSMUSG00000000627,1.768140397421475e-07
ENSMUSG00000000628,4.8565055304794625e-05
ENSMUSG00000000631,2.7155664599925918e-05
ENSMUSG00000000632,4.788525897517685e-07
ENSMUSG00000000673,4.4767141483500167e-07
ENSMUSG00000000682,6.192468828055723e-06
ENSMUSG00000000686,3.327156306914009e-07
ENSMUSG00000000690,5.99491970080957e-06
ENSMUSG00000000693,0.00015813956392739907
ENSMUSG00000000706,1.422254857016935e-07
ENSMUSG00000000708,8.502527270665847e-06
ENSMUSG00000000711,1.7446205069578555e-05
ENSMUSG00000000724,1.6965028417542398e-07
ENSMUSG00000000730,1.5448989064054568e-06
ENSMUSG00000000731,8.910475610418089e-08
ENSMUSG00000000732,2.2416767007980484e-07
ENSMUSG00000000739,3.304973413244464e-07
ENSMUSG00000000743,4.6824632327927294e-05
ENSMUSG00000000751,0.00014052518654544648
ENSMUSG00000000753,0.000523328449126646
ENSMUSG00000000759,2.640137428922348e-05
ENSMUSG00000000766,3.033742604930065e-08
ENSMUSG00000000776,4.1357900317457004e-05
ENSMUSG00000000782,2.1715540748452172e-08
ENSMUSG00000000787,0.00020334102211872317
ENSMUSG00000000791,1.1266576535935168e-06
ENSMUSG00000000792,1.7071806207186346e-07
ENSMUSG00000000794,9.231397338832143e-08
ENSMUSG00000000804,2.84167109260112e-05
ENSMUSG00000000811,3.7797913274742747e-06
ENSMUSG00000000817,2.8999444631635857e-08
ENSMUSG00000000823,6.497872791706981e-07
ENSMUSG00000000826,8.608315513305578e-05
ENSMUSG00000000827,0.00013304795965106477
ENSMUSG00000000838,2.9850619639548822e-05
ENSMUSG00000000861,2.6242803045324304e-07
ENSMUSG00000000869,9.917035706083045e-07
ENSMUSG00000000876,2.1240363206412845e-05
ENSMUSG00000000881,2.4250278213005168e-05
ENSMUSG00000000884,7.958284044539497e-06
ENSMUSG00000000901,1.6983916331982016e-05
ENSMUSG00000000902,6.958602591578954e-05
ENSMUSG00000000915,4.214110634811529e-06
ENSMUSG00000000916,7.9051729467907e-06
ENSMUSG00000000934,1.1701268156770325e-05
ENSMUSG00000000938,2.4073412724158206e-05
ENSMUSG00000000948,5.1042216819499085e-05
ENSMUSG00000000957,0.00011684117227776244
ENSMUSG00000000958,1.7855977631857712e-06
ENSMUSG00000000959,2.8231920288316552e-05
ENSMUSG00000000976,1.5076585341363928e-05
ENSMUSG00000000982,4.3317971337508255e-06
ENSMUSG00000000983,1.228750644611365e-07
ENSMUSG00000001016,8.239643313323971e-05
ENSMUSG00000001017,8.0704292998585e-05
ENSMUSG00000001018,6.977704663859241e-05
ENSMUSG00000001021,2.9784700347592668e-05
ENSMUSG00000001023,1.3190358591358104e-05
ENSMUSG00000001025,0.00424931692642201
ENSMUSG00000001027,1.6377177622694145e-08
ENSMUSG00000001034,8.944007492579381e-06
ENSMUSG00000001036,5.845817261293338e-06
ENSMUSG00000001039,6.075482068256421e-05
ENSMUSG00000001052,4.703653102072614e-05
ENSMUSG00000001053,7.820685235359977e-07
ENSMUSG00000001054,2.822609989411152e-05
ENSMUSG00000001056,0.00022838749784059517
ENSMUSG00000001062,6.627777670095587e-06
ENSMUSG00000001082,1.114724776306253e-05
ENSMUSG00000001089,7.151961985447873e-05
ENSMUSG00000001095,5.7908292343101004e-08
ENSMUSG00000001098,2.6068687769038148e-05
ENSMUSG00000001100,7.578975436676335e-05
ENSMUSG00000001103,1.2494131506431428e-08
