,mean,var,cv2,poisson_dist,O,O_real,O_pred
0610005C13Rik,0.0007429420505200594,0.0007423900876296283,1344.9999999999998,0.9992570579494797,0.0007429420505200594,0.0007429420505200594,0.0007425550132775793
0610007P14Rik,0.09237246161466073,0.10365157796377701,12.1476112097406,1.122104750181586,0.08370480435859336,0.08370480435859336,0.08673899902156101
0610009B22Rik,0.07850421000495295,0.08422837182477216,13.666978475256002,1.0729153483546687,0.07355126300148589,0.07355126300148589,0.07439905319666429
0610009E02Rik,0.0012382367508667657,0.001236703520615569,806.6000000000003,0.9987617632491335,0.0012382367508667657,0.0012382367508667657,0.0012371620085599444
0610009L18Rik,0.017582961862308073,0.01975027481619022,63.88355485022812,1.123262108560227,0.01634472511144131,0.01634472511144131,0.01736862607979406
0610009O20Rik,0.04952947003467063,0.05202924863622235,21.209000000000003,1.0504705299653294,0.0470529965329371,0.0470529965329371,0.047864371069949674
0610010F05Rik,0.014363546310054482,0.015147824248146818,73.42211652794295,1.054601970931325,0.013868251609707775,0.013868251609707775,0.014220204673535353
0610010K14Rik,0.0009905894006934125,0.000989608133332647,1008.5000000000006,0.9990094105993071,0.0009905894006934125,0.0009905894006934125,0.0009899014500707182
0610012G03Rik,0.10698365527488855,0.11980759309590097,10.467656893004115,1.1198681965769632,0.09583952451708767,0.09583952451708767,0.09949672476214566
0610030E20Rik,0.01659237246161466,0.016812360338056418,61.06772109601247,1.013258373807042,0.01634472511144131,0.01634472511144131,0.01640138005704994
0610037L13Rik,0.10525012382367509,0.11497491267333783,10.379056055363325,1.0923969349998546,0.09583952451708767,0.09583952451708767,0.09799592841185467
0610039K10Rik,0.00024764735017335313,0.00024758602096330525,4037.0,0.9997523526498266,0.00024764735017335313,0.00024764735017335313,0.000247604331579665
0610040B10Rik,0.018821198613174838,0.019952845196978385,56.326177285318565,1.0601261698078779,0.01807825656265478,0.01807825656265478,0.018575815418279684
0610040F04Rik,0.0007429420505200594,0.0007423900876296282,1344.9999999999995,0.9992570579494795,0.0007429420505200594,0.0007429420505200594,0.0007425550132775793
