,mean,var,cv2,poisson_dist,O,O_real,O_pred
0610005C13Rik,0.009208874005860193,0.009124070645404384,107.59090909090907,0.9907911259941397,0.009208874005860193,0.009208874005860193,0.009145287754396492
0610007P14Rik,0.18166596902469653,0.213962733128205,6.4832232580857525,1.1777810355835985,0.15403934700711594,0.15403934700711594,0.15947866015416323
0610009B22Rik,0.11050648807032232,0.12089840399725195,9.900223829201101,1.0940389664751322,0.10004185851820846,0.10004185851820846,0.10192906231699883
0610009E02Rik,0.0046044370029300966,0.0045832361628161435,216.1818181818181,0.9953955629970695,0.0046044370029300966,0.0046044370029300966,0.004588491774979886
0610009L18Rik,0.024277940560904144,0.023688522163025357,40.18965517241381,0.9757220594390962,0.024277940560904144,0.024277940560904144,0.02384036500290765
0610009O20Rik,0.037672666387609875,0.03960211805153415,27.90395061728395,1.0512162225012789,0.03599832565927166,0.03599832565927166,0.03662825498303668
0610010F05Rik,0.011720385098367517,0.011583017671513481,84.32142857142857,0.9882796149016324,0.011720385098367517,0.011720385098367517,0.011617557126301081
0610010K14Rik,0.0029300962745918793,0.0029215108104135024,340.28571428571433,0.9970699037254082,0.0029300962745918793,0.0029300962745918793,0.0029236319222846197
0610012G03Rik,0.3926329007953118,0.5465510000226025,3.545335309441219,1.3920152868379503,0.2863122645458351,0.2863122645458351,0.30079342671349096
0610030E20Rik,0.027208036835496024,0.028142100295392533,38.01562130177514,1.0343304247029654,0.026370866471326915,0.026370866471326915,0.02665952270257843
0610037L13Rik,0.08246128087065718,0.08570746239785706,12.604292818676077,1.0393661302968553,0.07785684386772708,0.07785684386772708,0.07759967744912
0610038B21Rik,0.0016743407283382169,0.0016715373114636442,596.2499999999998,0.9983256592716614,0.0016743407283382169,0.0016743407283382169,0.0016722281544899742
0610039K10Rik,0.0012557555462536626,0.001254178624261716,795.3333333333335,0.9987442444537465,0.0012557555462536626,0.0012557555462536626,0.0012545668921994935
0610040B10Rik,0.002092925910422771,0.002088545571556252,476.80000000000007,0.9979070740895772,0.002092925910422771,0.002092925910422771,0.0020896259334917122
0610040F04Rik,0.0008371703641691084,0.0008364695099504654,1193.5,0.9991628296358309,0.0008371703641691084,0.0008371703641691084,0.0008366419261741642
