mca,tm,gtex
S100a8,Rn45s,ENSG00000198804
S100a9,Gsn,ENSG00000198886
Wap,Malat1,ENSG00000210082
Csn1s2a,Actb,ENSG00000198938
Tmsb4x,Eef1a1,ENSG00000198727
Csn1s2b,Apoe,ENSG00000198712
Csn2,Cst3,ENSG00000198763
Csn1s1,Dcn,ENSG00000198899
Csn3,Gcg,ENSG00000198888
Ngp,H2-D1,ENSG00000198786
Rpl41,Fos,ENSG00000244734
Rpl13,Lyz2,ENSG00000156508
Camp,Itm2b,ENSG00000075624
mt-Cytb,Sparc,ENSG00000115414
Rpl32,Ctsd,ENSG00000196924
Lyz2,Fth1,ENSG00000211459
Rpl18a,Ins2,ENSG00000198840
Rps27,Plp1,ENSG00000175084
mt-Nd1,Ftl1,ENSG00000133392
Rps29,Trf,ENSG00000212907
Igkc,Actg1,ENSG00000245532
Fth1,Tmsb4x,ENSG00000087086
Rplp1,Hsp90ab1,ENSG00000197971
Rps26,Dusp1,ENSG00000124942
Rps14,Rplp0,ENSG00000167658
mt-Rnr2,Cd74,ENSG00000198695
Rps15a,Hspa8,ENSG00000184009
Ubb,H2-K1,ENSG00000228253
Sftpc,H2-Ab1,ENSG00000100316
Sparc,Gstm1,ENSG00000143632
Hbb-bs,Hexb,ENSG00000186395
mt-Nd4,Cd81,ENSG00000135821
Rps9,Psap,ENSG00000133112
Rps19,B2m,ENSG00000166710
Prm1,H3f3b,ENSG00000211445
Rps24,Atp5b,ENSG00000101335
Rpl37,Krt14,ENSG00000142541
Rplp0,Mgp,ENSG00000265972
Rpl14,Krt15,ENSG00000198467
Igha,Rpsa,ENSG00000148180
Rpl8,Jun,ENSG00000174444
Rpl37a,Ins1,ENSG00000111640
Rpl11,Rpl4,ENSG00000104879
Rpl10,Hspa5,ENSG00000092054
Rpl23,H2-Aa,ENSG00000167978
Rpl26,Rpl18a,ENSG00000167768
Rpl4,C1qb,ENSG00000248527
Rps11,Ngp,ENSG00000149591
Rps27a,Anxa2,ENSG00000149925
